,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
BCL3(+),2.976484047,0,0,0.862259003,0,0,0.788159124,0,0,0.64265516,0,1.750390244,0
NFKB2(+),2.575308387,0,0,0.803953914,0,0.044820934,0.469555587,0,0,0.925744127,0,0.851001176,0
STAT6(+),2.242739449,0,0,1.477501235,0,0.086924911,0.835592636,0,0.061597827,1.032848336,0,1.393490042,0.150005931
NEUROD2(+),0,3.341347561,3.28376399,0,0,0,0,1.256838947,0,0,0,0,3.346638857
ASCL1(+),0,2.599868109,2.20995621,0,1.640992985,0,0,1.573489716,0,0,0.22267662,0,2.385569297
SOX11(+),0,2.454015081,2.128602276,0,1.149069798,0,0,1.822943606,0,0,0.898347803,0,2.065743667
LHX5(+),0,1.903917585,4.237005432,0,0.017988628,0,0,0,0,0,0,0,0
SOX8(+),0,2.421483503,3.640696335,0,0.436074424,0,0,0.621868733,0,0,0,0,1.004716218
ETV5(+),0,1.398962048,3.584997183,0,0.093490715,0,0,0,0,0,0.103155399,0,0
MEF2C(+),1.850280013,0,0,3.044916464,0,0,1.033683412,0,0,0,0,0.985161459,0.041897168
ELF4(+),2.096936559,0,0,2.892631341,0,0,1.57542052,0,0,0.07619476,0,1.446087151,0.739883741
MAF(+),1.741104139,0,0,2.669546722,0,0,1.682260594,0,0,0,0,0.828308548,0.269800778
SOX9(+),0,0.059251495,0,0,5.043445464,0,0,0,0,0,0.13839623,0,0
RFX4(+),0,0,0,0,4.328588576,0,0,0,0,0,0.041449746,0,0
HEY2(+),0,0.768698364,0.354531093,0,3.352991108,0.271988958,0,0.184869433,0.30456647,0,0.143539331,0,0.143560544
SOX10(+),0,0,0.024380601,0,0,5.003676923,0,0,0,0,0,4.256776608,0
NKX6-2(+),0,0.263607183,0.724681383,0,0.040157228,4.861161485,0,0,0,0,0,5.073265839,0
STAT2(+),0,0,0,0,0,4.841133906,0,0,0,0,0,4.251641574,0
RXRB(+),0,0,0,0,0,0,1.842113577,0,1.80205296,2.387262164,0,0,0
PLAGL2(+),0,0,0,0,0,0,1.796896519,0,0,0.240367175,0.974143591,0,0
TCF3(+),0,0,0,0,0,0,1.344551177,0,0.573909807,0,0.869989705,0,0.897045639
HDAC2(+),0,0,0,0,0,0,0,6.364300996,0,0,0,0,0
ZNF726(+),0,0,0,0,0.427598507,0,0.458209525,4.463228262,0,0,2.298878285,0,0
MXD3(+),0.092051227,0.410285262,0.583630495,0.364192747,0.421680636,0.149082574,0,4.270931256,0,0,0,0.186073601,0.586258528
MECOM(+),0,0,0,0,0,0,0,0,8.826424974,0,0,0,0
EBF1(+),0,0,0,0,0,0,0,0,7.326577536,0,0,0,0
ZIC1(+),0,0,0,0,0,0,0,0,7.105742727,0,0,0,0
BCL11B(+),0,0,0,0,0,0,0.084096161,0,0.459139914,9.054900804,0,0,0
PBX4(+),0.292907026,0,0,0,0,0,0,0,0,7.005222126,0,0.036411615,0
GTF2B(+),0,0,0,0,0,0,0,0,0.751790308,4.488033168,0,0,0
SCRT1(+),0,0.391156462,0.304962584,0,0.090801691,0,0,0,0.084296772,0,3.761861063,0,0
TBX15(+),0,0,0,0,0,0,0,0,0.080513461,0,3.637968233,0,0
POLR3A(+),0,0,0,0,0,0,0,0,0,0,3.279109868,0,0
ZNF273(+),0,2.153663365,1.814995576,0,0.834311488,0,0,1.27622099,0,0,1.169831135,0,3.311715242
TCF12(+),0,2.525447845,2.293928106,0,0.816459151,0,0,1.681949981,0,0,0.560174749,0,3.146757717
ZNF781(+),0,0,0,0,0,0,0,0,0,0,0,0,3.098593021
